NeighborhoodName;City;State;CountyName;2019-1;2019-2;2019-3;2019-4;2019-5;2019-6;
Mission District;San Francisco;CA;San Francisco;3325;3375;3320;3528;3606;3475;
Downtown;San Francisco;CA;San Francisco;2980;3075;3215;3155;3220;3220;
Pacific Heights;San Francisco;CA;San Francisco;3625;3622,5;3720;3820;3844,5;3874;
Nob Hill;San Francisco;CA;San Francisco;2987,5;2925;2920;2920;2920;2825;
South of Market;San Francisco;CA;San Francisco;3675;3834;3854;3790;3792,5;3775;
Russian Hill;San Francisco;CA;San Francisco;3620;3572,5;3470;3599;3520;3475;
Hayes Valley;San Francisco;CA;San Francisco;4090;4330;4110;4175;4300;4255;
Marina;San Francisco;CA;San Francisco;3425;3411,5;3399;3425;3525;3525;
Lower Pacific Heights;San Francisco;CA;San Francisco;3325;3350;3432;3483;3421;3400;
South Beach;San Francisco;CA;San Francisco;3925;4025;4022,5;4025;4075;4050;
Van Ness - Civic Center;San Francisco;CA;San Francisco;3384;3378,5;3625;3688;3625;3625;
Mission Bay;San Francisco;CA;San Francisco;3824;3923;4100,5;4138;4213,5;4217,5;
Yerba Buena Gardens;San Francisco;CA;San Francisco;3620;3575;3745,5;3797,5;3630;3750;
